model,likes,downloads,tags
gemma-7b,3174,53723,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2305.14314, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
gemma-7b-it,1176,70939,"transformers, safetensors, gguf, gemma, text-generation, conversational, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, base_model:google/gemma-7b, base_model:finetune:google/gemma-7b, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
moondream2,1155,361027,"transformers, safetensors, gguf, moondream1, text-generation, image-text-to-text, custom_code, doi:10.57967/hf/3219, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us"
FLUX.1-dev-gguf,1080,158404,"gguf, text-to-image, image-generation, flux, base_model:black-forest-labs/FLUX.1-dev, base_model:quantized:black-forest-labs/FLUX.1-dev, license:other, region:us"
DeepSeek-R1-GGUF,1076,54423,"transformers, gguf, deepseek_v3, text-generation, deepseek, unsloth, custom_code, en, arxiv:2501.12948, base_model:deepseek-ai/DeepSeek-R1, base_model:quantized:deepseek-ai/DeepSeek-R1, license:mit, autotrain_compatible, endpoints_compatible, region:us, conversational"
gemma-2b,1007,403391,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
miqu-1-70b,986,209,"gguf, endpoints_compatible, region:us"
Tifa-Deepsex-14b-CoT-GGUF-Q4,797,2622,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, sex, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational, not-for-all-audiences"
gemma-2b-it,751,155103,"transformers, safetensors, gguf, gemma, text-generation, conversational, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
mxbai-embed-large-v1,681,2318092,"sentence-transformers, onnx, safetensors, openvino, gguf, bert, feature-extraction, mteb, transformers.js, transformers, en, arxiv:2309.12871, license:apache-2.0, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us"
